word,zone,item,meanItemRT
celebrate,119,1,342.9529412
their,120,1,400.2619048
achievements.,121,1,419.1860465
It,122,1,388.6206897
shows,123,1,338.908046
a,124,1,380.2906977
sinister,125,1,426.8837209
looking,126,1,407.5176471
boar's,127,1,406.3837209
head,128,1,424.8390805
sitting,129,1,356.8488372
on,130,1,340.744186
top,131,1,349.9195402
of,132,1,350.045977
a,133,1,343.1395349
well,134,1,375.6627907
which,135,1,423.2352941
seems,136,1,425.9647059
puzzling,137,1,375.2068966
at,138,1,353.5176471
"first,",139,1,343.744186
but,140,1,331.1046512
the,141,1,358.8505747
reason,142,1,340.8735632
for,143,1,341.3103448
this,144,1,340.5581395
symbol,145,1,348.8850575
is,146,1,328.1511628
a,147,1,355.4482759
matter,148,1,327.2643678
of,149,1,372.4117647
legend.,150,1,392.7241379
There,151,1,364.2873563
was,152,1,331.6551724
"once,",153,1,342.8965517
legend,154,1,455.2873563
has,155,1,376.0229885
"it,",156,1,358.2068966
a,157,1,369.045977
fearsome,158,1,369.9767442
"boar,",159,1,375.0232558
which,160,1,363.3837209
lived,161,1,324.9058824
in,162,1,302.5697674
a,163,1,363.1976744
wood,164,1,357.7674419
located,165,1,424.8735632
just,166,1,342.7411765
outside,167,1,323.744186
the,168,1,350.3604651
manor,169,1,353.3333333
of,170,1,407.0232558
Bradford.,171,1,391.6162791
A,172,1,365.5348837
source,173,1,345.7931034
of,174,1,333.8045977
great,175,1,358.3103448
trouble,176,1,338.4651163
to,177,1,319.2093023
the,178,1,308.9418605
local,179,1,307.4470588
folk,180,1,336.0465116
the,181,1,346.2352941
boar,182,1,342.5529412
"was,",183,1,374.7142857
bringing,184,1,374.5
terror,185,1,347.4235294
to,186,1,320.5
the,187,1,332.1511628
peaceful,188,1,336.8604651
flocks,189,1,329.5116279
and,190,1,341.6860465
ravaging,191,1,359.8604651
the,192,1,397.1162791
countryside,193,1,414.547619
around.,194,1,429.804878
Even,195,1,385.1309524
"worse,",196,1,364.8255814
"however,",197,1,360.6511628
the,198,1,324.4186047
boar,199,1,337.5058824
most,200,1,356.4767442
liked,201,1,343.0232558
to,202,1,331.9651163
go,203,1,309.5647059
to,204,1,318.4186047
the,205,1,323.8953488
well,206,1,349.5697674
that,207,1,338.2906977
was,208,1,324.5232558
in,209,1,300.6511628
the,210,1,311.7906977
wood,211,1,356.7093023
and,212,1,338.3571429
drink,213,1,352.4588235
its,214,1,326.7882353
fresh,215,1,324.3764706
"water,",216,1,366.7882353
so,217,1,339.8139535
that,218,1,313.4588235
the,219,1,301.5662651
people,220,1,331
of,221,1,313.9176471
Bradford,222,1,318.9294118
had,223,1,353.872093
second,224,1,350.1647059
thoughts,225,1,335.3837209
about,226,1,337.6781609
visiting,227,1,319.4418605
the,228,1,335.3139535
well.,229,1,445.2093023
That,230,1,350.4705882
the,231,1,341
people,232,1,335.5465116
of,233,1,319.5238095
Bradford,234,1,337.0813953
bore,235,1,351.5647059
the,236,1,370.6588235
brunt,237,1,358.1162791
of,238,1,336.2117647
the,239,1,333.702381
beast's,240,1,382.6428571
ferocity,241,1,402.2619048
was,242,1,386.8333333
unfair,243,1,343.4651163
in,244,1,314.9534884
the,245,1,308.1529412
eyes,246,1,323.2906977
of,247,1,312.7209302
the,248,1,348.8255814
people,249,1,325.2
of,250,1,305.2352941
the,251,1,380.4470588
region.,252,1,415.6627907
"Eventually,",253,1,342.6627907
the,254,1,326.6860465
issue,255,1,341.3604651
reached,256,1,336.6627907
the,257,1,346.627907
ears,258,1,320.8488372
of,259,1,307.4069767
the,260,1,328
kindly,261,1,325.3255814
Lord,262,1,326.4883721
of,263,1,302.0116279
the,264,1,322.2906977
Manor,265,1,317.5813953
who,266,1,349.2674419
the,267,1,327.3604651
people,268,1,334.8941176
had,269,1,321.0348837
often,270,1,326.1046512
asked,271,1,317.8837209
for,272,1,310.5348837
help.,273,1,334.9534884
The,274,1,323.5813953
Lord,275,1,311.0813953
saw,276,1,322.4418605
the,277,1,334.8352941
severity,278,1,340.0352941
of,279,1,317.5764706
the,280,1,324.7411765
problem,281,1,310.2
the,282,1,330.5232558
people,283,1,317.2674419
faced,284,1,327.2209302
and,285,1,325.0697674
suggested,286,1,348.5930233
a,287,1,331.5348837
contest,288,1,328.5411765
could,289,1,332.6
solve,290,1,295.4642857
the,291,1,308.2470588
problem.,292,1,331.8705882
He,293,1,315.7529412
said,294,1,313.4705882
that,295,1,306.6117647
whoever,296,1,338.4705882
could,297,1,308.4534884
kill,298,1,310.8372093
the,299,1,297.8235294
boar,300,1,303.6470588
and,301,1,286.7294118
bring,302,1,288.5294118
as,303,1,331.6117647
proof,304,1,340.7294118
its,305,1,300.5529412
head,306,1,300.0235294
to,307,1,294.4470588
the,308,1,320.7647059
Manor,309,1,316.9058824
House,310,1,328.8809524
would,311,1,317.3333333
be,312,1,321.4285714
rewarded,313,1,305.4941176
with,314,1,314.0941176
land,315,1,328.3214286
and,316,1,335.9761905
fame.,317,1,318.2261905
It,318,1,329.3294118
was,319,1,316.2705882
the,320,1,309.5301205
people,321,1,316.0722892
of,322,1,328.9036145
Bradford,323,1,324
and,324,1,331.0352941
the,325,1,293.8214286
people,326,1,299.8674699
who,327,1,332.9058824
knew,328,1,340.2823529
them,329,1,318.5465116
who,330,1,361.9882353
rejoiced,331,1,347.7764706
at,332,1,325.1904762
this,333,1,367.2235294
proclamation,334,1,365.7058824
but,335,1,356.1882353
one,336,1,349.3809524
question,337,1,381.2705882
remained:,338,1,383.3452381
who,339,1,331.7882353
would,340,1,317.9176471
kill,341,1,317.4117647
the,342,1,295.1058824
boar?,343,1,324.3058824
By,344,1,309.3529412
the,345,1,331.3882353
handsome,346,1,355.4823529
reward,347,1,399.8
many,348,1,416.5529412
felt,349,1,368.1294118
"tempted,",350,1,354.0352941
but,351,1,340.9176471
the,352,1,354.75
thought,353,1,305.202381
of,354,1,306.8588235
the,355,1,306.5952381
boar,356,1,326.8352941
with,357,1,320.8823529
its,358,1,312.9404762
deadly,359,1,312.6
tusks,360,1,328.2380952
and,361,1,316.2380952
face,362,1,306.5833333
like,363,1,326.8095238
thunder,364,1,325.1058824
soon,365,1,331.6117647
put,366,1,312.4285714
an,367,1,293.2941176
end,368,1,292.3294118
to,369,1,285.8705882
their,370,1,341.8117647
ambitions.,371,1,400.8928571
"However,",372,1,374.746988
there,373,1,343.4285714
was,374,1,316
one,375,1,361.1647059
"huntsman,",376,1,386.1882353
who,377,1,322.1176471
was,378,1,297.6
still,379,1,308.5714286
wet,380,1,344.0357143
behind,381,1,312.75
the,382,1,298.6785714
"ears,",383,1,318.2823529
who,384,1,317.3764706
decided,385,1,293.8452381
the,386,1,302
prize,387,1,304.9759036
was,388,1,300.2857143
worth,389,1,308.8333333
a,390,1,305.3855422
"shot,",391,1,315.4938272
in,392,1,333.2117647
spite,393,1,294.2352941
of,394,1,293.1707317
the,395,1,299.6506024
boar's,396,1,325.6666667
reputation.,397,1,362.3493976
The,398,1,383.9047619
huntsman,399,1,353.3214286
discovered,400,1,333.6470588
the,401,1,337.8705882
boar,402,1,351.0238095
preferred,403,1,337.8292683
to,404,1,323.4404762
come,405,1,305.8433735
out,406,1,302.3214286
in,407,1,293.047619
the,408,1,299.4352941
middle,409,1,297.5119048
of,410,1,284.2619048
the,411,1,305.6823529
day.,412,1,349.2261905
So,413,1,321.1309524
he,414,1,321.925
went,415,1,274
to,416,1,280.9166667
the,417,1,292.4404762
wood,418,1,303.3333333
by,419,1,300.6785714
the,420,1,291.9529412
well,421,1,310.5662651
with,422,1,314
his,423,1,319.7058824
good,424,1,350.9759036
"bow,",425,1,344.5595238
to,426,1,349.4117647
bide,427,1,370.8313253
his,428,1,342.3373494
time.,429,1,356.797619
Around,430,1,354.2470588
"noontime,",431,1,360.4642857
the,432,1,322.8352941
"boar,",433,1,317.2
feared,434,1,329.3604651
by,435,1,337.1627907
the,436,1,304.3488372
"locals,",437,1,346.6235294
came,438,1,326.5882353
"out,",439,1,309.0235294
as,440,1,319.7176471
slow,441,1,317.9268293
as,442,1,297.9390244
a,443,1,360.8941176
"snail,",444,1,352.6352941
from,445,1,340.9764706
among,446,1,331.0823529
the,447,1,309.1529412
"trees,",448,1,317.7294118
just,449,1,324.9156627
as,450,1,320.2619048
the,451,1,321.6470588
huntsman,452,1,333.2117647
had,453,1,344.0722892
predicted.,454,1,404.2380952
The,455,1,365
huntsman,456,1,323.3095238
leaped,457,1,339.9642857
from,458,1,322.1411765
his,459,1,313.3764706
hiding,460,1,314.2650602
place,461,1,309.0864198
and,462,1,316.4588235
through,463,1,334.0465116
the,464,1,363.1860465
heart,465,1,388.1411765
with,466,1,367.3176471
his,467,1,343.4470588
fine,468,1,342.452381
arrows,469,1,356.7738095
shot,470,1,351.4096386
the,471,1,364.3614458
boar.,472,1,387.1927711
Now,473,1,332.7738095
the,474,1,325.6823529
problem,475,1,308.6428571
was,476,1,318.4588235
no,477,1,310.2261905
longer,478,1,331.7529412
to,479,1,325.2261905
kill,480,1,305.3571429
the,481,1,315.3855422
boar.,482,1,338.1325301
It,483,1,310.1666667
was,484,1,306.5058824
to,485,1,313.7951807
find,486,1,329.8072289
a,487,1,308.0357143
way,488,1,291.6588235
to,489,1,304.5294118
carry,490,1,313.0941176
the,491,1,312.9176471
boar,492,1,330.702381
back.,493,1,411.6626506
The,494,1,347.6352941
head,495,1,357.9411765
was,496,1,337.4
too,497,1,342.2470588
heavy,498,1,345.2941176
for,499,1,315.8
the,500,1,319.4285714
little,501,1,346.3095238
huntsman,502,1,338.4578313
to,503,1,318.9880952
carry,504,1,332.1176471
back,505,1,308.4117647
to,506,1,312.3095238
the,507,1,324.9176471
Manor,508,1,354.9529412
"House,",509,1,374.1190476
but,510,1,341.4337349
the,511,1,327.8571429
"huntsman,",512,1,314.7380952
who,513,1,310.2771084
was,514,1,328.4235294
as,515,1,331.8928571
quick-witted,516,1,372.9166667
and,517,1,349.1176471
cunning,518,1,326.702381
as,519,1,319.6626506
"ever,",520,1,317.1882353
asked,521,1,340.4166667
"himself,",522,1,319.8352941
'What,523,1,327.2588235
else,524,1,323.1927711
can,525,1,308.047619
I,526,1,300.0470588
do,527,1,316.8235294
to,528,1,348.2771084
prove,529,1,300.746988
I,530,1,334.047619
killed,531,1,306.0238095
the,532,1,331.8928571
boar?',533,1,348.7647059
The,534,1,334.7764706
next,535,1,318.2941176
instance,536,1,336.9302326
he,537,1,340.3294118
opened,538,1,345.8
the,539,1,343.2
boar's,540,1,329.3529412
mouth,541,1,358.0833333
and,542,1,340.4
cut,543,1,356.2380952
out,544,1,327.4705882
its,545,1,346.1176471
"tongue,",546,1,389.4470588
taking,547,1,368.0348837
that,548,1,349.6046512
as,549,1,338.8
proof,550,1,311.4302326
for,551,1,293.7093023
the,552,1,314.5952381
Lord.,553,1,307.5119048
He,554,1,318.9764706
set,555,1,308.9058824
out,556,1,309.3690476
for,557,1,315.4588235
the,558,1,285.8139535
Manor,559,1,304.4069767
House,560,1,312.2857143
as,561,1,297.2380952
quickly,562,1,308.5060241
as,563,1,284.0357143
he,564,1,295.2705882
could,565,1,296.7176471
and,566,1,287.7951807
he,567,1,288.7619048
had,568,1,295.1428571
only,569,1,293.9638554
been,570,1,291.6428571
gone,571,1,285.6190476
a,572,1,288.0963855
few,573,1,303.8095238
minutes,574,1,312
when,575,1,303.7209302
a,576,1,296.5
second,577,1,320.8023256
"huntsman,",578,1,319.6588235
not,579,1,321.6941176
so,580,1,320.5647059
bold,581,1,350.2588235
as,582,1,317.0116279
the,583,1,292.6117647
first,584,1,303.3647059
but,585,1,297.1511628
a,586,1,312.7619048
little,587,1,312.4588235
more,588,1,303.1309524
"cunning,",589,1,323.8470588
came,590,1,317.4470588
on,591,1,302.7882353
the,592,1,339.297619
scene.,593,1,386.297619
Seeing,594,1,314.9176471
the,595,1,316.0941176
slain,596,1,327.6162791
carcass,597,1,335.9883721
of,598,1,296.2352941
the,599,1,320.6470588
"boar,",600,1,314.8470588
the,601,1,323.9529412
huntsman,602,1,327.1058824
rejoiced,603,1,325.0352941
in,604,1,299.2352941
his,605,1,302.3882353
good,606,1,299.5529412
fortune.,607,1,321.8705882
The,608,1,338.7176471
second,609,1,310.5411765
huntsman,610,1,312.2823529
knew,611,1,308.9285714
a,612,1,298.1904762
shortcut,613,1,326.3411765
to,614,1,327.6235294
the,615,1,294.2048193
Manor,616,1,297.6744186
House,617,1,299.6511628
was,618,1,315.6235294
just,619,1,298.9761905
around,620,1,295.8795181
the,621,1,301.7857143
nearby,622,1,304
"pond,",623,1,322.2117647
"and,",624,1,329.1904762
being,625,1,312.6071429
a,626,1,305.9058824
bigger,627,1,305.8470588
man,628,1,296.9058824
than,629,1,287.7764706
the,630,1,287.9047619
"first,",631,1,299.2261905
was,632,1,293.2650602
able,633,1,270.5662651
to,634,1,281
pick,635,1,283.3690476
up,636,1,274.8117647
the,637,1,302.7764706
boar's,638,1,307.7411765
head,639,1,312.6
and,640,1,308.2941176
carry,641,1,293.2857143
it,642,1,286.1309524
through,643,1,288.8214286
the,644,1,287.9879518
wood,645,1,305.6463415
towards,646,1,318.0823529
the,647,1,298.2857143
prize,648,1,314.4352941
that,649,1,333.8117647
awaited,650,1,324.3333333
him.,651,1,354.1084337
The,652,1,299.8588235
Lord,653,1,293.9764706
of,654,1,285.8554217
the,655,1,267.225
Manor,656,1,291.6097561
was,657,1,284.2560976
seated,658,1,300.7831325
in,659,1,318.9047619
his,660,1,283.3764706
hall,661,1,281.6705882
when,662,1,286.6823529
the,663,1,293.1071429
second,664,1,296.3176471
huntsman,665,1,295.0588235
burst,666,1,302.2380952
through,667,1,303.1647059
the,668,1,284.4823529
door,669,1,287.4880952
and,670,1,281.2261905
began,671,1,292.4705882
to,672,1,292.7261905
spin,673,1,284.8117647
a,674,1,292.3294118
line.,675,1,333.6666667
'The,676,1,352.7764706
woes,677,1,319.4047619
of,678,1,325.1084337
Bradford,679,1,316.6941176
are,680,1,309.8352941
ended!',681,1,326.9759036
he,682,1,328.3214286
announced.,683,1,366.6470588
'With,684,1,335.3571429
my,685,1,323.4470588
own,686,1,302.2941176
hand,687,1,286.2289157
I,688,1,349.6506024
have,689,1,285.0120482
slain,690,1,283.8214286
the,691,1,293.452381
boar!',692,1,303.8192771
"And,",693,1,301.2738095
with,694,1,276.4166667
"that,",695,1,282.202381
at,696,1,298.5238095
the,697,1,301.5903614
feet,698,1,287.3928571
of,699,1,288.1785714
his,700,1,281.452381
lord,701,1,310.9761905
he,702,1,296.9647059
dropped,703,1,289.686747
the,704,1,297.6
boar's,705,1,315.5952381
enormous,706,1,329.6
head.,707,1,371.2738095
'Then,708,1,338.8235294
you,709,1,301.6666667
will,710,1,285.0352941
be,711,1,308.2705882
"rewarded,",712,1,311.0588235
as,713,1,288.1058824
I,714,1,298.2588235
promised.',715,1,326.297619
'But,716,1,341.7764706
"first,",717,1,306.5357143
let,718,1,304.0843373
me,719,1,295.7261905
examine,720,1,306.1785714
the,721,1,304.8928571
head,722,1,302.3095238
of,723,1,298.1547619
this,724,1,359.9166667
"monster,'",725,1,312.6309524
said,726,1,299.202381
the,727,1,307.6071429
Lord,728,1,300.5529412
of,729,1,291.5294118
the,730,1,306.6024096
Manor.,731,1,322.7647059
To,732,1,306.5119048
not,733,1,318.6626506
examine,734,1,345.2117647
the,735,1,304.6904762
head,736,1,300.8823529
in,737,1,305
advance,738,1,318.9642857
had,739,1,314.1309524
not,740,1,323.8690476
been,741,1,329.8095238
very,742,1,337.1785714
clever,743,1,335.7619048
on,744,1,333.0465116
the,745,1,323.75
part,746,1,291.3614458
of,747,1,280.0714286
the,748,1,331.4761905
huntsman.,749,1,387.4823529
Right,750,1,350.5421687
"away,",751,1,325.0357143
the,752,1,318.047619
Lord,753,1,315.5595238
noticed,754,1,317.0823529
the,755,1,302.1647059
tongue,756,1,304.4588235
of,757,1,287.2738095
the,758,1,288.1071429
boar,759,1,300
was,760,1,295.2261905
missing,761,1,322.1904762
and,762,1,315.2588235
"exclaimed,",763,1,341.5714286
'What,764,1,335.6428571
is,765,1,327.6235294
this?,766,1,308.1764706
A,767,1,324.7411765
boar,768,1,284.2
with,769,1,297.3452381
no,770,1,307.3058824
tongue?',771,1,329.7882353
He,772,1,311.7647059
looked,773,1,306.0941176
at,774,1,291.6071429
the,775,1,315.9058824
"huntsman,",776,1,359.0823529
dubiously.,777,1,344.4705882
'How,778,1,338.4880952
come,779,1,331.8690476
this,780,1,308.6823529
creature,781,1,301.0588235
has,782,1,294.1190476
no,783,1,331.9411765
tongue?',784,1,342.7411765
he,785,1,295.7619048
demanded.,786,1,315.0235294
All,787,1,312.5647059
eyes,788,1,305.6785714
were,789,1,289.797619
on,790,1,282.4705882
the,791,1,302.2
huntsman.,792,1,313.9285714
The,793,1,309.0352941
huntsman,794,1,296.3647059
questioned,795,1,320.1764706
by,796,1,310.0714286
the,797,1,317.6235294
Lord,798,1,327.5238095
"replied,",799,1,317.0823529
'I,800,1,315.3333333
cannot,801,1,304.1666667
"say,",802,1,312
my,803,1,297.1309524
Lord.',804,1,313.3411765
He,805,1,307.7764706
was,806,1,298.1529412
suddenly,807,1,339.6785714
realizing,808,1,326.1666667
his,809,1,352.6506024
tricky,810,1,334.8235294
situation,811,1,338.5813953
could,812,1,316.9647059
end,813,1,307.3452381
badly,814,1,317.5833333
for,815,1,309.9047619
him.,816,1,391.2142857
Through,817,1,338
the,818,1,336.4096386
door,819,1,290.8292683
at,820,1,297.4268293
this,821,1,300.6829268
"moment,",822,1,321.5595238
the,823,1,296.7380952
first,824,1,307.5238095
huntsman,825,1,311.6941176
burst.,826,1,319.1071429
'The,827,1,340.9277108
woes,828,1,330.452381
of,829,1,301.8705882
Bradford,830,1,302.1411765
are,831,1,292.9642857
ended!',832,1,299.5542169
he,833,1,303.8117647
cried.,834,1,295.1882353
'I,835,1,317
have,836,1,289.3928571
slain,837,1,286.4939759
the,838,1,275.8690476
boar,839,1,289.7764706
the,840,1,289.7738095
people,841,1,284.1190476
of,842,1,289.2117647
Bradford,843,1,301.9882353
dreaded!',844,1,361.5764706
All,845,1,354.6823529
eyes,846,1,310.5882353
turned,847,1,289.2048193
to,848,1,296.5833333
the,849,1,280.202381
man,850,1,276.4337349
who,851,1,288.5595238
now,852,1,297.6309524
stood,853,1,298.5529412
in,854,1,284.5662651
the,855,1,291.9390244
doorway.,856,1,302.6987952
'The,857,1,315.3253012
reward,858,1,310.4285714
is,859,1,323.75
already,860,1,310.0609756
"given,'",861,1,357.4096386
said,862,1,310.304878
the,863,1,298.4235294
Lord,864,1,298.2705882
of,865,1,293.0235294
the,866,1,281.0352941
Manor.,867,1,301.1309524
'The,868,1,311.4588235
man,869,1,322.4166667
here,870,1,312.952381
has,871,1,295.3882353
brought,872,1,280.8352941
to,873,1,269.4404762
me,874,1,285.9882353
the,875,1,298.9166667
boar's,876,1,306.7176471
head.',877,1,316.1190476
'Then,878,1,318.2823529
where,879,1,322.7142857
is,880,1,306.8690476
its,881,1,361.0352941
tongue?',882,1,355.8470588
the,883,1,314.7857143
first,884,1,331.5238095
huntsman,885,1,327.297619
replied.,886,1,356.0352941
"And,",887,1,360.9529412
so,888,1,321.547619
"saying,",889,1,318.6904762
he,890,1,323.6117647
drew,891,1,308.4705882
out,892,1,308.1176471
the,893,1,306.3809524
boar's,894,1,312.7764706
tongue,895,1,331.6588235
he,896,1,316.7619048
had,897,1,308.2674419
put,898,1,300.4285714
in,899,1,306.2619048
his,900,1,293.7619048
hunting,901,1,309.6666667
pouch,902,1,318.8941176
and,903,1,335.5647059
related,904,1,335.6235294
how,905,1,313.2705882
he,906,1,300.1294118
had,907,1,335.2352941
ambushed,908,1,313.4235294
the,909,1,305.4941176
creature,910,1,298.6235294
in,911,1,288.1325301
the,912,1,293.9642857
wood,913,1,289.9411765
and,914,1,284.2823529
cut,915,1,290.2891566
out,916,1,272.4404762
its,917,1,288.1058824
tongue,918,1,288.4941176
as,919,1,284.1294118
proof,920,1,306.5647059
of,921,1,274.2588235
his,922,1,292.8705882
victory.,923,1,317.0843373
Listening,924,1,338.2073171
to,925,1,293.547619
the,926,1,283.2142857
"tale,",927,1,318.75
the,928,1,290.75
Lord,929,1,276.6470588
of,930,1,283.1058824
the,931,1,290.4
Manor,932,1,281.2380952
tried,933,1,277.2261905
to,934,1,286.686747
discern,935,1,303.1463415
which,936,1,297.4819277
huntsman,937,1,308.3764706
was,938,1,292.4470588
telling,939,1,291.9176471
him,940,1,295.7764706
the,941,1,285.1882353
truth,942,1,287.7647059
and,943,1,279.8214286
what,944,1,295.3058824
the,945,1,288.5176471
two,946,1,299.0357143
huntsmen,947,1,308.0238095
were,948,1,301.1445783
thinking,949,1,321.4404762
as,950,1,309.3647059
they,951,1,302.6352941
waited,952,1,297.2941176
for,953,1,290.7411765
him,954,1,276.8809524
to,955,1,276.6428571
make,956,1,276.7142857
a,957,1,279.060241
decision.,958,1,325.2048193
Almost,959,1,329.6705882
"instantly,",960,1,318.6235294
the,961,1,300.1647059
Lord,962,1,278.7294118
saw,963,1,285.4047619
that,964,1,297.1566265
the,965,1,279.3690476
second,966,1,295.4823529
huntsman,967,1,327.6309524
had,968,1,319.75
fed,969,1,343.6352941
him,970,1,335.8823529
a,971,1,309.8214286
pack,972,1,309.0705882
of,973,1,334.1882353
lies,974,1,320.9882353
and,975,1,304.3764706
it,976,1,291.6626506
was,977,1,277.9047619
the,978,1,274.9642857
first,979,1,299.6309524
huntsman,980,1,296.6707317
who,981,1,276.0843373
was,982,1,268.6746988
the,983,1,286.6309524
TRUE,984,1,311.6588235
savior,985,1,295.3333333
of,986,1,293.8313253
Bradford.,987,1,321.804878
The,988,1,306.2941176
Lord,989,1,295.1309524
believed,990,1,303.702381
the,991,1,290.2941176
second,992,1,307.4117647
huntsman,993,1,308.2117647
had,994,1,317.5529412
tried,995,1,292.3058824
to,996,1,271.0361446
steal,997,1,285.2261905
the,998,1,280.6117647
first,999,1,329.4
huntsman's,1000,1,338.8452381
prize,1001,1,305.9294118
and,1002,1,303.5119048
so,1003,1,308.1309524
proclaimed,1004,1,316.5411765
the,1005,1,311.6117647
first,1006,1,303.8674699
huntsman,1007,1,297.8072289
the,1008,1,291.8554217
TRUE,1009,1,333.5176471
victor.,1010,1,311.8941176
The,1011,1,306.373494
Lord,1012,1,324.1428571
wondered,1013,1,298.6506024
for,1014,1,312.0238095
a,1015,1,308.3529412
moment,1016,1,309.0238095
why,1017,1,303.1428571
he,1018,1,305.797619
always,1019,1,294.1071429
encountered,1020,1,364.297619
so,1021,1,324.8658537
much,1022,1,370.9761905
chicanery,1023,1,440.1764706
in,1024,1,366.2823529
his,1025,1,371.4642857
everyday,1026,1,399.8095238
interactions.,1027,1,377.8095238
The,1028,1,409.5833333
huntsman,1029,1,341.5882353
who,1030,1,309.3294118
had,1031,1,354.7951807
earned,1032,1,351.8795181
his,1033,1,346.8795181
prize,1034,1,326.3095238
fair,1035,1,336.202381
and,1036,1,302.8571429
square,1037,1,312.6506024
received,1038,1,312.0117647
as,1039,1,331.7647059
his,1040,1,303.8809524
reward,1041,1,311.0833333
a,1042,1,333.8452381
piece,1043,1,323.3809524
of,1044,1,318.8809524
land,1045,1,339.1785714
just,1046,1,334.3690476
outside,1047,1,285.3529412
the,1048,1,289.9058824
"town,",1049,1,310.8690476
known,1050,1,350.797619
thereafter,1051,1,355.5529412
as,1052,1,335.1411765
Hunt,1053,1,461.6470588
Yard.,1054,1,442.5833333
His,1055,1,362.7093023
fame,1056,1,338.1724138
was,1057,1,362.5747126
indeed,1058,1,338.6511628
"assured,",1059,1,336.9534884
but,1060,1,335.5
it,1061,1,323.0689655
was,1062,1,307.3218391
not,1063,1,304.8735632
nearly,1064,1,358.1724138
as,1065,1,355.045977
lasting,1066,1,330.3448276
as,1067,1,319.7011494
that,1068,1,327.2413793
of,1069,1,327.5402299
the,1070,1,357.8045977
fearsome,1071,1,424.2528736
Bradford,1072,1,614.7356322
Boar.,1073,1,924.1818182
A,1,2,405.8369565
clear,2,2,351.0111111
and,3,2,396.978022
joyous,4,2,376.021978
day,5,2,356.2608696
it,6,2,343.516129
was,7,2,373.3913043
and,8,2,386.7222222
out,9,2,349.0989011
on,10,2,332.3626374
the,11,2,327.1413043
wide,12,2,364.5326087
open,13,2,389.3977273
"sea,",14,2,459.3152174
thousands,15,2,360.1847826
upon,16,2,357.7802198
thousands,17,2,344.8369565
of,18,2,360.1956522
sparkling,19,2,363.7840909
water,20,2,378.4545455
"drops,",21,2,430.0337079
excited,22,2,406.3111111
by,23,2,394
getting,24,2,372.1573034
to,25,2,359.7727273
play,26,2,356.0786517
in,27,2,334.1111111
the,28,2,377.5795455
"ocean,",29,2,406.5164835
danced,30,2,375.1098901
all,31,2,360.8369565
around.,32,2,380.0989011
